"city","state","zip","lat","long","id_geolocation","population"
Burkeville,TX,75932,31.0099,-93.6585,1,1437
Fresno,TX,77545,29.5293,-95.4626,2,19431
Osseo,MN,55311,45.1243,-93.4996,3,65312
Pomona,CA,91766,34.0418,-117.7569,4,154204
Vacaville,CA,95688,38.3847,-121.9887,5,99475
South Lake Tahoe,CA,96150,38.917,-119.9865,6,29800
Belvidere,TN,37306,35.1415,-86.1728,7,2760
Columbia,SC,29205,33.9903,-80.9997,8,333497
Chicago,IL,60660,41.9909,-87.6629,9,2680484
Tunnelton,WV,26444,39.3625,-79.7478,10,3639
Rockbridge,OH,43149,39.5509,-82.5626,11,2552
Fort Lauderdale,FL,33312,26.0968,-80.181,12,711693
Hollywood,FL,33029,25.9924,-80.4089,13,420284
East Orange,NJ,7017,40.7696,-74.2077,14,64267
Flat Rock,MI,48134,42.1055,-83.2795,15,21408
Perkasie,PA,18944,40.3765,-75.2648,16,24479
West Nyack,NY,10994,41.0973,-73.9768,17,7085
Nesconset,NY,11767,40.8462,-73.1482,18,14530
Lambertville,NJ,8530,40.3731,-74.9266,19,8071
Gloversville,NY,12078,43.0616,-74.3375,20,23773
Gladwin,MI,48624,44.0296,-84.4968,21,15810
Tuscaloosa,AL,35405,33.1617,-87.5144,22,112654
Summit,MS,39666,31.2975,-90.4654,23,9588
Worcester,MA,1602,42.2703,-71.8417,24,181315
Springfield,PA,19064,39.9296,-75.3338,25,24459
Vancouver,WA,98684,45.6359,-122.5155,26,299480
Bloomfield Hills,MI,48301,42.5445,-83.2792,27,45496
Jackson Heights,NY,11372,40.7513,-73.883,28,66636
Pikesville,MD,21208,39.3764,-76.729,29,33917
Lutcher,LA,70071,30.0447,-90.7008,30,3653
Bridgeport,AL,35740,34.9446,-85.7277,31,3482
Passaic,NJ,7055,40.8601,-74.1283,32,69816
Woodstock,GA,30188,34.106,-84.5117,33,89239
Stevens Point,WI,54481,44.5212,-89.5588,34,38295
Stevensville,MI,49127,42.022,-86.5119,35,10694
Waco,TX,76706,31.5171,-97.1198,36,148766
Cardville,ME,4418,45.0776,-68.6033,37,1771
Old Greenwich,CT,6870,41.0354,-73.5673,38,7316
Clinton,TN,37716,36.0869,-84.1897,39,25749
Montville,NJ,7045,40.9049,-74.3646,40,10127
Southwick,MA,1077,42.0511,-72.7706,41,9502
Bryan,OH,43506,41.4748,-84.5629,42,14830
Pelican Rapids,MN,56572,46.5994,-96.0662,43,5454
Westborough,MA,1581,42.2679,-71.6176,44,18272
Grinnell,IA,50112,41.7421,-92.7344,45,11536
Copperas Cove,TX,76522,31.2029,-97.9301,46,35534
Danvers,MA,1923,42.5694,-70.9425,47,26342
Vernon,TX,76384,34.1491,-99.303,48,12991
Turbeville,SC,29162,33.8786,-79.9852,49,4122
Bel Air,MD,21014,39.5394,-76.3564,50,63810
Effort,PA,18330,40.9669,-75.4523,51,8927
Phoenix,AZ,85031,33.4939,-112.1696,52,1312922
Odessa,TX,79763,31.8341,-102.4162,53,137390
Accord,NY,12404,41.8083,-74.2353,54,3385
Bridgeport,WV,26330,39.2954,-80.2427,55,14377
Puyallup,WA,98375,47.1037,-122.3235,56,129412
