merchant,id_geolocation,id_merchant
Bins-Tillman,6051,1
"Hahn, Douglas and Schowalter",1276,2
"Hayes, Marquardt and Dibbert",1383,3
"Mueller, Gerhold and Mueller",1846,4
Kerluke Inc,1784,5
Waelchi Inc,4637,6
Trantow PLC,2176,7
Runolfsson and Sons,3968,8
Bechtelar-Rippin,1048,9
"Schumm, Bauch and Ondricka",1553,10
Langworth LLC,3289,11
"Rohan, White and Aufderhar",2334,12
"Parker, Nolan and Trantow",5984,13
"Kilback, Nitzsche and Leffler",1443,14
"Yost, Block and Koepp",4966,15
Daugherty LLC,4230,16
Botsford PLC,2961,17
Powlowski-Weimann,5486,18
Kertzmann LLC,6104,19
Frami Group,6024,20
"McLaughlin, Armstrong and Koepp",1136,21
Beer-Jast,5949,22
"Goldner, Kovacek and Abbott",2857,23
Lebsack and Sons,333,24
Emmerich-Rau,2594,25
Spinka-Welch,3557,26
Luettgen PLC,286,27
Kertzmann LLC,1105,28
Bogisich-Homenick,1182,29
Watsica LLC,4626,30
Hermann and Sons,6239,31
Stark-Batz,904,32
"Raynor, Reinger and Hagenes",3147,33
"Schoen, Nienow and Bauch",4052,34
Jakubowski Group,5073,35
"Jones, Sawayn and Romaguera",2663,36
"Runte, Green and Emard",5862,37
Ullrich Ltd,4400,38
McKenzie-Huels,4343,39
Champlin and Sons,1276,40
Reichert-Weissnat,939,41
Cormier LLC,651,42
Adams-Barrows,1770,43
Huels-Hahn,5357,44
Connelly PLC,636,45
Larkin Ltd,623,46
Pollich LLC,1835,47
"Terry, Johns and Bins",3890,48
Spencer-Runolfsson,6051,49
"Willms, Kris and Bergnaum",3025,50
Zboncak LLC,5486,51
Wisozk and Sons,767,52
Williamson LLC,6089,53
"Nienow, Ankunding and Collier",5007,54
Reynolds-Schinner,3968,55
Cummerata-Hilpert,3908,56
Romaguera Ltd,4230,57
Hickle Group,5073,58
"Stanton, Jakubowski and Baumbach",3951,59
Bins-Howell,1784,60
"Turcotte, McKenzie and Koss",4657,61
Medhurst PLC,5105,62
"Goyette, Howell and Collier",1182,63
Howe Ltd,1948,64
"Raynor, Feest and Miller",2334,65
"Casper, Hand and Zulauf",4966,66
Deckow-Dare,3361,67
Smitham-Schiller,1472,68
"Nitzsche, Kessler and Wolff",3689,69
Abbott-Steuber,5038,70
Schmitt Ltd,3630,71
Ankunding LLC,4343,72
"Gottlieb, Considine and Schultz",1320,73
Erdman-Kertzmann,1077,74
Johns-Hoeger,1958,75
"Lesch, D'Amore and Brown",1383,76
"Hermiston, Russel and Price",651,77
Runolfsson and Sons,1960,78
"Bahringer, Schoen and Corkery",3917,79
Runolfsson and Sons,4657,80
Schulist Ltd,2148,81
"Haley, Batz and Auer",4971,82
"Hyatt, Russel and Gleichner",3011,83
Wilkinson PLC,3649,84
"Eichmann, Hayes and Treutel",1276,85
Brekke and Sons,4100,86
"Wintheiser, Dietrich and Schimmel",4187,87
Powlowski-Weimann,4626,88
"Hagenes, Hermann and Stroman",225,89
Kuphal-Toy,1815,90
"Bins, Balistreri and Beatty",1472,91
Hamill-D'Amore,4534,92
Grimes LLC,3917,93
Goyette-Gerhold,1936,94
Sporer Inc,1383,95
"Bahringer, Osinski and Block",2816,96
Schmitt Ltd,4873,97
"Berge, Kautzer and Harris",4826,98
"Goyette, Howell and Collier",3872,99
Heller-Langosh,6089,100
Dooley-Thompson,2294,101
Beier LLC,496,102
Parker-Kunde,5882,103
Daugherty LLC,6046,104
Adams-Barrows,4154,105
"Rippin, Kub and Mann",4230,106
Emmerich-Rau,1936,107
Torphy-Goyette,702,108
"Zboncak, Rowe and Murazik",5007,109
"Becker, Harris and Harvey",3890,110
Pfeffer and Sons,1746,111
"Witting, Beer and Ernser",2736,112
"Rutherford, Homenick and Bergstrom",4855,113
"Gottlieb, Considine and Schultz",767,114
"Swaniawski, Lowe and Robel",3025,115
"Christiansen, Goyette and Schamberger",3472,116
Auer-Mosciski,767,117
"Connelly, Reichert and Fritsch",1553,118
"Hahn, Bahringer and McLaughlin",2309,119
Dare-Gibson,2740,120
"Cormier, Stracke and Thiel",4400,121
"Hettinger, McCullough and Fay",4400,122
"Hahn, Bahringer and McLaughlin",5914,123
Champlin and Sons,286,124
"Lockman, West and Runte",5107,125
Crona and Sons,3289,126
Rau and Sons,4966,127
"Zemlak, Tillman and Cremin",6104,128
Tillman LLC,496,129
"Turner, Ziemann and Lehner",1048,130
"Boehm, Predovic and Reinger",5038,131
VonRueden Group,4637,132
"Swaniawski, Bahringer and Ledner",117,133
Effertz LLC,3361,134
Smitham-Boehm,3868,135
Sporer-Keebler,23,136
Medhurst Inc,1846,137
Pagac LLC,3903,138
Christiansen-Gusikowski,636,139
Greenholt Ltd,4127,140
Schmidt and Sons,911,141
Tillman LLC,2294,142
Carroll PLC,5107,143
Osinski Inc,4604,144
McKenzie-Huels,4400,145
Bauch-Raynor,2164,146
Ankunding LLC,3025,147
"Raynor, Reinger and Hagenes",3712,148
"Turner, Ziemann and Lehner",4873,149
Howe PLC,1182,150
Klocko LLC,2979,151
Corwin-Romaguera,4583,152
Auer-West,6024,153
Pfeffer LLC,5038,154
Botsford PLC,6089,155
Shanahan-Lehner,2173,156
"Kutch, Steuber and Gerhold",2597,157
Ziemann-Waters,4637,158
Huel Ltd,2857,159
Bashirian Group,946,160
Goyette-Gerhold,1835,161
Johns Inc,1960,162
Champlin and Sons,1960,163
Kris-Padberg,4534,164
"Graham, Hegmann and Hammes",2164,165
Feil-Morar,1553,166
Block Group,3917,167
O'Hara-Wilderman,2521,168
Bogisich Inc,5151,169
Conroy-Cruickshank,2526,170
Runolfsson and Sons,1472,171
Bahringer Group,2546,172
Mohr Inc,1160,173
Kuhic LLC,3928,174
"Terry, Johns and Bins",3903,175
Volkman Ltd,3125,176
Kozey-Kuhlman,3649,177
"Baumbach, Feeney and Morar",4493,178
Schuppe LLC,1936,179
Schamberger-O'Keefe,225,180
Hamill-Daugherty,3920,181
Wolf Inc,3917,182
Turcotte-Halvorson,223,183
"Dare, Casper and Bartoletti",5007,184
Kutch Group,1960,185
Stoltenberg-Beatty,3712,186
"Haley, Jewess and Bechtelar",5882,187
"Baumbach, Feeney and Morar",2663,188
Doyle Ltd,1770,189
McKenzie-Huels,784,190
Kutch-Hegmann,5105,191
Hermann and Sons,784,192
Bauch-Blanda,2564,193
Turner LLC,5605,194
Dare-Gibson,880,195
Corwin-Collins,4657,196
Watsica LLC,2816,197
Torp-Lemke,5105,198
"Turner, Ziemann and Lehner",5942,199
"Schmeler, Bashirian and Price",1616,200
Rau-Robel,225,201
"Lind, Huel and McClure",1320,202
Terry-Huel,3147,203
Romaguera and Sons,2521,204
DuBuque LLC,1496,205
Hammes-Beatty,4100,206
"Tromp, Kerluke and Glover",5151,207
Osinski Inc,1203,208
"Stanton, Jakubowski and Baumbach",1182,209
Reichel LLC,5766,210
Lynch-Wisozk,1326,211
Frami Group,4493,212
Erdman-Ebert,1481,213
"Willms, Kris and Bergnaum",1668,214
"Schoen, Nienow and Bauch",1948,215
"Schuppe, Nolan and Hoeger",6046,216
"Welch, Rath and Koepp",1746,217
Schuppe LLC,4534,218
Bogisich Inc,986,219
Kozey-Kuhlman,1770,220
Balistreri-Nader,2564,221
Weber and Sons,6306,222
Schmeler-Howe,1276,223
Dibbert and Sons,5486,224
"McCullough, Hudson and Schuster",4966,225
"Ledner, Hartmann and Feest",286,226
Eichmann-Kilback,1553,227
Breitenberg LLC,4400,228
Gislason Group,986,229
Reichel LLC,6089,230
Friesen-Stamm,3968,231
Lockman Ltd,3025,232
"Greenholt, Jacobi and Gleason",4873,233
"Huel, Hammes and Witting",1545,234
Ratke and Sons,1936,235
Kuhn Group,3951,236
Bauch-Blanda,2663,237
"Kilback, Nitzsche and Leffler",1553,238
Hermann-Gaylord,2979,239
Hilpert-Conroy,225,240
"Hermiston, Pacocha and Smith",286,241
Gottlieb Group,5107,242
Erdman-Durgan,651,243
Goldner-Lemke,1182,244
Heaney-Marquardt,4504,245
Nienow PLC,286,246
Cruickshank-Mills,5007,247
Wuckert-Walter,1512,248
McDermott-Weimann,2526,249
"Bernier, Volkman and Hoeger",4351,250
Ruecker-Mayert,2294,251
Jewess LLC,4133,252
Osinski Inc,6104,253
Ratke and Sons,6190,254
Kemmer-Buckridge,3649,255
"Mosciski, Gislason and Mertz",2594,256
Bahringer-Streich,1948,257
Koss and Sons,1136,258
Adams-Barrows,2816,259
Jacobi Inc,1043,260
Abernathy and Sons,1160,261
"Schiller, Blanda and Johnson",4400,262
"Reilly, Heaney and Cole",3890,263
"Schroeder, Hauck and Treutel",1960,264
Emard Inc,6098,265
Frami Group,904,266
"Stanton, Jakubowski and Baumbach",1326,267
Fisher Inc,4873,268
Ullrich Ltd,4150,269
Barton LLC,1553,270
