session_id,event_type,event_time,traffic_source,device_type
c9718135-8134-42b2-8e1e-2737fd6b49b1,AP,04:52.3,MOBILE,Android
c9718135-8134-42b2-8e1e-2737fd6b49b1,CL,07:47.3,MOBILE,Android
c9718135-8134-42b2-8e1e-2737fd6b49b1,SER,12:08.3,MOBILE,Android
c9718135-8134-42b2-8e1e-2737fd6b49b1,CL,28:32.3,MOBILE,Android
c9718135-8134-42b2-8e1e-2737fd6b49b1,ATC,17:38.3,MOBILE,Android
c9718135-8134-42b2-8e1e-2737fd6b49b1,VI,49:04.3,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,HP,03:14.6,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,ATC,56:58.6,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,ATC,52:26.6,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,ATC,46:38.6,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,ATC,43:26.6,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,ATC,35:01.6,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,ATC,27:38.6,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,ATC,56:37.6,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,HP,35:21.6,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,ATC,36:02.6,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,AP,27:30.6,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,SCR,19:34.6,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,CL,16:02.6,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,CL,06:14.6,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,HP,00:25.6,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,ATC,59:45.6,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,SER,45:42.6,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,CL,53:16.6,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,CL,56:51.6,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,SCR,04:00.6,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,SER,52:38.6,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,VI,01:57.6,MOBILE,Android
2a5d33d4-2ffc-4e71-9cc9-1e650e69c498,HP,06:08.6,MOBILE,Android
2a5d33d4-2ffc-4e71-9cc9-1e650e69c498,ATC,16:57.6,MOBILE,Android
2a5d33d4-2ffc-4e71-9cc9-1e650e69c498,AP,18:59.6,MOBILE,Android
2a5d33d4-2ffc-4e71-9cc9-1e650e69c498,SER,21:49.6,MOBILE,Android
2a5d33d4-2ffc-4e71-9cc9-1e650e69c498,SER,30:27.6,MOBILE,Android
2a5d33d4-2ffc-4e71-9cc9-1e650e69c498,SER,30:57.6,MOBILE,Android
2a5d33d4-2ffc-4e71-9cc9-1e650e69c498,ATC,57:47.6,MOBILE,Android
2a5d33d4-2ffc-4e71-9cc9-1e650e69c498,ATC,02:07.6,MOBILE,Android
2a5d33d4-2ffc-4e71-9cc9-1e650e69c498,ATC,11:35.6,MOBILE,Android
2a5d33d4-2ffc-4e71-9cc9-1e650e69c498,HP,24:43.6,MOBILE,Android
2a5d33d4-2ffc-4e71-9cc9-1e650e69c498,VI,37:20.6,MOBILE,Android
997432b4-a3c3-4d35-a85a-0c7c6291058d,HP,29:38.6,WEB,Android
997432b4-a3c3-4d35-a85a-0c7c6291058d,ATC,51:39.6,WEB,Android
997432b4-a3c3-4d35-a85a-0c7c6291058d,AP,05:45.6,WEB,Android
997432b4-a3c3-4d35-a85a-0c7c6291058d,HP,44:34.6,WEB,Android
997432b4-a3c3-4d35-a85a-0c7c6291058d,CL,00:17.6,WEB,Android
997432b4-a3c3-4d35-a85a-0c7c6291058d,SCR,16:28.6,WEB,Android
997432b4-a3c3-4d35-a85a-0c7c6291058d,SER,37:40.6,WEB,Android
997432b4-a3c3-4d35-a85a-0c7c6291058d,SCR,54:01.6,WEB,Android
997432b4-a3c3-4d35-a85a-0c7c6291058d,ATC,17:37.6,WEB,Android
b746ff42-f05a-4a8a-a52d-ed149a79e35f,HP,15:52.6,MOBILE,Android
b746ff42-f05a-4a8a-a52d-ed149a79e35f,ATC,51:12.6,MOBILE,Android
