State,Youth Offender Type,Year,Offences
Australian Capital Territory,01 Homicide and related offences,2008,0
Australian Capital Territory,02 Acts intended to cause injury,2008,153
Australian Capital Territory,03 Sexual assault and related offences,2008,6
Australian Capital Territory,04 Dangerous/negligent acts(e),2008,0
Australian Capital Territory,05 Abduction/harassment,2008,0
Australian Capital Territory,06 Robbery/extortion,2008,23
Australian Capital Territory,07 Unlawful entry with intent,2008,80
Australian Capital Territory,08 Theft,2008,377
Australian Capital Territory,09 Fraud/deception,2008,15
Australian Capital Territory,10 Illicit drug offences,2008,25
Australian Capital Territory,11 Weapons/explosives,2008,45
Australian Capital Territory,12 Property damage and environmental pollution,2008,66
Australian Capital Territory,13 Public order offences,2008,161
Australian Capital Territory,15 Offences against justice(g),2008,13
Australian Capital Territory,16 Miscellaneous offences,2008,0
Australian Capital Territory,All offenders,2008,3483
Australian Capital Territory,Total Youth offenders,2008,983
New South Wales,01 Homicide and related offences,2008,29
New South Wales,02 Acts intended to cause injury,2008,3865
New South Wales,03 Sexual assault and related offences,2008,150
New South Wales,04 Dangerous/negligent acts(e),2008,52
New South Wales,05 Abduction/harassment,2008,131
New South Wales,06 Robbery/extortion,2008,588
New South Wales,07 Unlawful entry with intent,2008,1335
New South Wales,08 Theft,2008,5801
New South Wales,09 Fraud/deception,2008,280
New South Wales,10 Illicit drug offences,2008,710
New South Wales,11 Weapons/explosives,2008,148
New South Wales,12 Property damage and environmental pollution,2008,1954
New South Wales,13 Public order offences,2008,2904
New South Wales,15 Offences against justice(g),2008,532
New South Wales,16 Miscellaneous offences,2008,672
New South Wales,All offenders,2008,107706
New South Wales,Total Youth offenders,2008,19151
Northern Territory,01 Homicide and related offences,2008,3
Northern Territory,02 Acts intended to cause injury,2008,277
Northern Territory,03 Sexual assault and related offences,2008,34
Northern Territory,04 Dangerous/negligent acts(e),2008,11
Northern Territory,05 Abduction/harassment,2008,4
Northern Territory,06 Robbery/extortion,2008,28
Northern Territory,07 Unlawful entry with intent,2008,392
Northern Territory,08 Theft,2008,242
Northern Territory,09 Fraud/deception,2008,3
Northern Territory,10 Illicit drug offences,2008,17
Northern Territory,11 Weapons/explosives,2008,14
Northern Territory,12 Property damage and environmental pollution,2008,62
Northern Territory,13 Public order offences,2008,218
Northern Territory,15 Offences against justice(g),2008,26
Northern Territory,16 Miscellaneous offences,2008,0
Northern Territory,All offenders,2008,9757
Northern Territory,Total Youth offenders,2008,1435
Queensland,01 Homicide and related offences,2008,21
Queensland,02 Acts intended to cause injury,2008,2221
Queensland,03 Sexual assault and related offences,2008,483
Queensland,04 Dangerous/negligent acts(e),2008,137
Queensland,05 Abduction/harassment,2008,3
Queensland,06 Robbery/extortion,2008,262
Queensland,07 Unlawful entry with intent,2008,2025
Queensland,08 Theft,2008,4989
Queensland,09 Fraud/deception,2008,156
Queensland,10 Illicit drug offences,2008,1324
Queensland,11 Weapons/explosives,2008,338
Queensland,12 Property damage and environmental pollution,2008,1501
Queensland,13 Public order offences,2008,2096
Queensland,15 Offences against justice(g),2008,423
Queensland,16 Miscellaneous offences,2008,0
Queensland,All offenders,2008,90748
Queensland,Total Youth offenders,2008,16709
South Australia,01 Homicide and related offences,2008,7
South Australia,02 Acts intended to cause injury,2008,943
South Australia,03 Sexual assault and related offences,2008,96
