Purpose,Percentage,State,Year
Play games,65%,NSW_ACT,2015
Take photos/videos,59%,NSW_ACT,2015
Use apps,53%,NSW_ACT,2015
Send or receive texts,53%,NSW_ACT,2015
Call parents/family,55%,NSW_ACT,2015
Listen to music,51%,NSW_ACT,2015
Receive calls from parents/family,52%,NSW_ACT,2015
Send or receive picture messages,36%,NSW_ACT,2015
Access the internet,35%,NSW_ACT,2015
Call my friends,33%,NSW_ACT,2015
Play games,66%,NSW_ACT,2016
Take photos/videos,65%,NSW_ACT,2016
Use apps,59%,NSW_ACT,2016
Send or receive texts,56%,NSW_ACT,2016
Call parents/family,61%,NSW_ACT,2016
Listen to music,54%,NSW_ACT,2016
Receive calls from parents/family,58%,NSW_ACT,2016
Send or receive picture messages,41%,NSW_ACT,2016
Access the internet,38%,NSW_ACT,2016
Call my friends,40%,NSW_ACT,2016
Play games,70%,NSW_ACT,2017
Take photos/videos,63%,NSW_ACT,2017
Use apps,61%,NSW_ACT,2017
Send or receive texts,56%,NSW_ACT,2017
Call parents/family,54%,NSW_ACT,2017
Listen to music,53%,NSW_ACT,2017
Receive calls from parents/family,54%,NSW_ACT,2017
Send or receive picture messages,41%,NSW_ACT,2017
Access the internet,43%,NSW_ACT,2017
Call my friends,33%,NSW_ACT,2017
Play games,74%,NSW_ACT,2018
Take photos/videos,69%,NSW_ACT,2018
Use apps,71%,NSW_ACT,2018
Send or receive texts,57%,NSW_ACT,2018
Call parents/family,58%,NSW_ACT,2018
Listen to music,61%,NSW_ACT,2018
Receive calls from parents/family,55%,NSW_ACT,2018
Send or receive picture messages,44%,NSW_ACT,2018
Access the internet,47%,NSW_ACT,2018
Call my friends,44%,NSW_ACT,2018
Play games,68%,NSW_ACT,2019
Take photos/videos,65%,NSW_ACT,2019
Use apps,62%,NSW_ACT,2019
Send or receive texts,61%,NSW_ACT,2019
Call parents/family,67%,NSW_ACT,2019
Listen to music,57%,NSW_ACT,2019
Receive calls from parents/family,60%,NSW_ACT,2019
Send or receive picture messages,47%,NSW_ACT,2019
Access the internet,48%,NSW_ACT,2019
Call my friends,47%,NSW_ACT,2019
Play games,73%,NSW_ACT,2020
Take photos/videos,68%,NSW_ACT,2020
Use apps,66%,NSW_ACT,2020
Send or receive texts,63%,NSW_ACT,2020
Call parents/family,60%,NSW_ACT,2020
Listen to music,57%,NSW_ACT,2020
Receive calls from parents/family,57%,NSW_ACT,2020
Send or receive picture messages,46%,NSW_ACT,2020
Access the internet,48%,NSW_ACT,2020
Call my friends,44%,NSW_ACT,2020
Play games,60%,VIC_TAS,2015
Take photos/videos,58%,VIC_TAS,2015
Use apps,57%,VIC_TAS,2015
Send or receive texts,56%,VIC_TAS,2015
Call parents/family,58%,VIC_TAS,2015
Listen to music,49%,VIC_TAS,2015
Receive calls from parents/family,53%,VIC_TAS,2015
Send or receive picture messages,29%,VIC_TAS,2015
Access the internet,36%,VIC_TAS,2015
Call my friends,33%,VIC_TAS,2015
Play games,61%,VIC_TAS,2016
Take photos/videos,65%,VIC_TAS,2016
Use apps,61%,VIC_TAS,2016
Send or receive texts,55%,VIC_TAS,2016
Call parents/family,52%,VIC_TAS,2016
Listen to music,48%,VIC_TAS,2016
Receive calls from parents/family,50%,VIC_TAS,2016
Send or receive picture messages,35%,VIC_TAS,2016
Access the internet,44%,VIC_TAS,2016
Call my friends,36%,VIC_TAS,2016
Play games,67%,VIC_TAS,2017
Take photos/videos,68%,VIC_TAS,2017
Use apps,65%,VIC_TAS,2017
Send or receive texts,56%,VIC_TAS,2017
Call parents/family,58%,VIC_TAS,2017
Listen to music,55%,VIC_TAS,2017
Receive calls from parents/family,54%,VIC_TAS,2017
Send or receive picture messages,41%,VIC_TAS,2017
Access the internet,46%,VIC_TAS,2017
Call my friends,39%,VIC_TAS,2017
Play games,75%,VIC_TAS,2018
Take photos/videos,67%,VIC_TAS,2018
Use apps,68%,VIC_TAS,2018
Send or receive texts,56%,VIC_TAS,2018
Call parents/family,56%,VIC_TAS,2018
Listen to music,56%,VIC_TAS,2018
Receive calls from parents/family,54%,VIC_TAS,2018
Send or receive picture messages,38%,VIC_TAS,2018
Access the internet,44%,VIC_TAS,2018
Call my friends,39%,VIC_TAS,2018
Play games,69%,VIC_TAS,2019
Take photos/videos,69%,VIC_TAS,2019
Use apps,66%,VIC_TAS,2019
Send or receive texts,56%,VIC_TAS,2019
Call parents/family,57%,VIC_TAS,2019
Listen to music,58%,VIC_TAS,2019
Receive calls from parents/family,55%,VIC_TAS,2019
Send or receive picture messages,45%,VIC_TAS,2019
Access the internet,48%,VIC_TAS,2019
Call my friends,42%,VIC_TAS,2019
Play games,74%,VIC_TAS,2020
Take photos/videos,70%,VIC_TAS,2020
Use apps,73%,VIC_TAS,2020
Send or receive texts,60%,VIC_TAS,2020
Call parents/family,65%,VIC_TAS,2020
Listen to music,59%,VIC_TAS,2020
Receive calls from parents/family,61%,VIC_TAS,2020
Send or receive picture messages,46%,VIC_TAS,2020
Access the internet,48%,VIC_TAS,2020
Call my friends,49%,VIC_TAS,2020
Play games,60%,WA,2015
Take photos/videos,61%,WA,2015
Use apps,51%,WA,2015
Send or receive texts,53%,WA,2015
Call parents/family,58%,WA,2015
Listen to music,54%,WA,2015
Receive calls from parents/family,54%,WA,2015
Send or receive picture messages,32%,WA,2015
Access the internet,37%,WA,2015
Call my friends,39%,WA,2015
Play games,64%,WA,2016
Take photos/videos,65%,WA,2016
Use apps,54%,WA,2016
Send or receive texts,51%,WA,2016
Call parents/family,56%,WA,2016
Listen to music,53%,WA,2016
Receive calls from parents/family,51%,WA,2016
Send or receive picture messages,33%,WA,2016
Access the internet,37%,WA,2016
Call my friends,38%,WA,2016
Play games,65%,WA,2017
Take photos/videos,61%,WA,2017
Use apps,54%,WA,2017
Send or receive texts,54%,WA,2017
