order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDZ06981,2018-03-14,10:21:58,Breakfast,NS,"[('Coffee', 3), ('Eggs', 6), ('Pancake', 5)]",275.75,-37.8124202,145.0150312,0,8.327,15.9129251
ORDZ05252,2018-06-09,13:14:21,Dinner,NS,"[('Salad', 1), ('Steak', 9), ('Burger', 9), ('Fries', 1)]",713.2,-37.8197218,144.98697,0,9.148,17.0685564
ORDB00749,2018-21-09,16:37:10,Dinner,TP,"[('Pasta', 4), ('Fish&Chips', 7), ('Salmon', 2)]",437.0,-37.8092101,144.9291215,0,11.163,15.1328052
ORDZ09523,2018-01-03,08:00:00,Breakfast,NS,"[('Pancake', 6), ('Coffee', 5), ('Cereal', 6), ('Eggs', 10)]",529.0,-37.8136729,144.9410854,1,9.515,7.7201182
ORDY03509,2018-03-21,10:32:06,Breakfast,TP,"[('Fish&Chips', 5), ('Pancake', 6), ('Eggs', 7), ('Cereal', 1)]",358.0,-37.8139299,144.9603733,0,8.34,11.1572691
ORDY08937,2018-05-15,12:23:39,Lunch,TP,"[('Fries', 8), ('Burger', 1), ('Steak', 10)]",577.0,-37.8242539,144.9537852,0,8.173,11.6240465
ORDK02648,2018-05-29,12:54:05,Lunch,BK,"[('Salad', 2), ('Steak', 7), ('Fries', 8), ('Chicken', 7), ('Burger', 9)]",948.4,-37.8085647,144.955358,1,8.206,14.3015912
ORDJ03601,2018-03-19,10:32:06,Breakfast,TP,"[('Pancake', 7), ('Eggs', 10)]",389.75,-37.8152183,144.9518997,0,8.882,11.6625017
ORDK07901,2018-02-08,09:10:59,Breakfast,BK,"[('Pancake', 10), ('Cereal', 2), ('Eggs', 4), ('Coffee', 4)]",402.5,-37.8152854,144.9578615,0,8.253,12.9681882
ORDI10053,2018-09-24,16:47:19,Dinner,NS,"[('Fish&Chips', 4), ('Pasta', 5)]",277.5,-37.8018316,144.9688686,0,9.836,12.6361043
ORDJ00087,2018-09-11,16:27:02,Dinner,TP,"[('Fish&Chips', 9), ('Pasta', 5)]",452.5,-37.8086595,144.9954898,0,10.766,14.4846195
ORDJ01403,2018-05-20,12:33:48,Lunch,TP,"[('Salad', 5), ('Chicken', 5), ('Burger', 4), ('Steak', 7), ('Fries', 6)]",757.0,-37.7993567,144.9727482,0,10.208,14.8024105
ORDK10652,2018-10-13,17:27:53,Dinner,BK,"[('Salmon', 3), ('Fish&Chips', 6)]",333.0,-37.8211412,144.9554276,0,8.571,17.9765404
ORDC01680,2018-11-17,18:38:52,Dinner,NS,"[('Fish&Chips', 4), ('Salmon', 5), ('Pasta', 5), ('Shrimp', 5)]",752.5,-37.8201154,145.0098166,0,11.047,19.317201
ORDA05565,2018-03-28,10:52:23,Breakfast,bk,"[('Cereal', 2), ('Pancake', 2)]",90.5,-37.8128878,144.9641366,0,7.648,12.7721909
ORDB03036,2018-12-05,19:09:17,Dinner,TP,"[('Pasta', 3), ('Fish&Chips', 1), ('Salmon', 2)]",199.5,-37.8207182,144.954738,0,9.771,12.3060075
ORDA08887,2018-12-13,19:29:34,Dinner,BK,"[('Salmon', 8), ('Pasta', 2), ('Shrimp', 6), ('Chicken', 4)]",847.0,-37.8178023,144.9317543,0,10.601,17.2982987
ORDC08152,2018-07-20,14:35:29,Lunch,tp,"[('Steak', 2), ('Burger', 6), ('Chicken', 10), ('Salad', 4), ('Fries', 3)]",700.8,-37.8221771,144.9477447,0,9.947,15.2565394
ORDB00737,2018-09-27,16:57:27,Dinner,TP,"[('Chicken', 9), ('Salmon', 6)]",493.5,-37.7988116,144.9489182,0,10.33,14.6562363
ORDK00055,2018-07-08,14:15:12,Lunch,BK,"[('Salad', 3), ('Chicken', 8), ('Burger', 5), ('Fries', 8)]",558.6,-37.8176749,144.9517603,0,8.829,17.703921
ORDA04392,2018-05-29,12:54:05,Lunch,BK,"[('Chicken', 6), ('Salad', 8), ('Steak', 7), ('Fries', 2), ('Burger', 10)]",978.6,-37.800831,144.9285143,0,9.776,18.9494723
ORDB00402,2018-02-01,09:00:50,Breakfast,TP,"[('Cereal', 10), ('Coffee', 9), ('Eggs', 10)]",497.5,-37.811254,145.0036664,1,11.323,13.5428757
