order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDZ06731,2018-04-28,11:53:14,Breakfast,NS,"[('Coffee', 10), ('Eggs', 7), ('Pancake', 9), ('Cereal', 2)]",489.25,-37.8026916,144.95606,0,7.687,14.5634331
ORDJ06791,2018-03-18,10:32:06,Breakfast,TP,"[('Cereal', 9), ('Eggs', 9), ('Pancake', 4), ('Coffee', 3)]",506.5,-37.8080853,144.973057,0,9.228,13.0049072
ORDK05754,2018-05-15,12:23:39,Lunch,BK,"[('Steak', 3), ('Fries', 7), ('Chicken', 2)]",283.0,-37.8131321,144.9516991,0,8.521,14.4410457
ORDI03449,2018-09-14,16:27:02,Dinner,NS,"[('Salmon', 6), ('Fish&Chips', 9), ('Shrimp', 5), ('Pasta', 4)]",941.0,-37.8148053,144.9448602,0,9.205,15.0747333
ORDA04666,2018-09-16,16:27:02,Dinner,BK,"[('Shrimp', 1), ('Fish&Chips', 5)]",229.0,-37.814573,144.9547906,0,8.382,17.6396515
ORDJ01640,2018-10-29,17:58:18,Dinner,TP,"[('Fish&Chips', 5), ('Salmon', 8), ('Pasta', 8), ('Shrimp', 5)]",993.0,-37.8079659,144.9733709,0,9.242,13.3261063
ORDJ07912,2018-06-11,13:14:21,Lunch,TP,"[('Salad', 3), ('Chicken', 9), ('Fries', 10), ('Steak', 8)]",819.6,-37.8242904,144.945174,0,9.024,12.8258737
ORDC06438,2018-03-25,10:42:15,Breakfast,NS,"[('Pancake', 5), ('Cereal', 2), ('Eggs', 1), ('Coffee', 6)]",230.25,-37.812877,144.9740492,0,7.64,7.5561734
ORDA01425,2018-05-12,12:23:39,Lunch,BK,"[('Chicken', 8), ('Fries', 1), ('Salad', 9)]",422.8,-37.8035213,144.9948772,0,5.255,13.7509165
ORDB05929,2018-03-07,10:01:41,Breakfast,TP,"[('Cereal', 10), ('Coffee', 6), ('Eggs', 7), ('Pancake', 5)]",530.25,-37.8233696,144.9847968,0,8.907,11.1416669
ORDA04731,2018-01-11,08:20:16,Breakfast,BK,"[('Cereal', 10), ('Pancake', 2), ('Eggs', 9)]",456.5,-37.8151994,144.9636889,1,7.75,6.1544418
ORDX06235,2018-06-02,13:04:13,Lunch,BK,"[('Burger', 6), ('Salad', 5), ('Steak', 10), ('Chicken', 4), ('Fries', 6)]",922.0,-37.8177636,144.9659853,0,7.559,15.8644105
